Codice Univoco Submisura;Regione;stato di avanzamento;Descrizione Regione;missione;Descrizione Submisura;progetto;in gara;aggiudicato;importo;progetto_n;in_gara_n;aggiudicato_n;projects_n;importo_procapite;progetto_procapite;in_gara_procapite;aggiudicato_procapite;popolazione
M1C1I1.03.01;012;progetto;LAZIO;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);26122172;0;0;26122172;3;0;0;3;4.577126224261939;4.577126224261939;0;0;5707112
M1C1I1.03.01;99;in gara;ITALIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);0;10546702;0;10546702;0;2;0;2;0.1792111045987766;0;0.1792111045987766;0;58850717
M1C1I1.03.01;012;in gara;LAZIO;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);0;10700000;0;10700000;0;1;0;1;1.8748536913240883;0;1.8748536913240883;0;5707112
M1C1I1.03.01;006;progetto;FRIULI-VENEZIA GIULIA;M1;Piattaforma Digitale Nazionale Dati (M1C1I1.03.01);10172;0;0;10172;1;0;0;1;0.008532189892391403;0.008532189892391403;0;0;1192191
M1C1I1.03.02;99;aggiudicato;ITALIA;M1;Sportello digitale unico (M1C1I1.03.02);0;0;90000000;90000000;0;0;1;1;1.5292931775155774;0;0;1.5292931775155774;58850717
M1C1I1.04.01;003;progetto;LOMBARDIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);138741863;0;0;138741863;1993;0;0;1993;13.94286606968606;13.94286606968606;0;0;9950742
M1C1I1.04.01;005;progetto;VENETO;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);71328972;0;0;71328972;941;0;0;941;14.742712297186609;14.742712297186609;0;0;4838253
M1C1I1.04.01;009;progetto;TOSCANA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);36710840;0;0;36710840;561;0;0;561;10.054590989364453;10.054590989364453;0;0;3651152
M1C1I1.04.01;008;progetto;EMILIA-ROMAGNA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);44256422.99999999;0;0;44256422.99999999;649;0;0;649;9.997093470439664;9.997093470439664;0;0;4426929
M1C1I1.04.01;011;progetto;MARCHE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);21597809.999999996;0;0;21597809.999999996;378;0;0;378;14.584846833450493;14.584846833450493;0;0;1480839
M1C1I1.04.01;010;progetto;UMBRIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);9889756;0;0;9889756;189;0;0;189;11.578653073218934;11.578653073218934;0;0;854137
M1C1I1.04.01;001;progetto;PIEMONTE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);82817765;0;0;82817765;1209;0;0;1209;19.529101787991518;19.529101787991518;0;0;4240736
M1C1I1.04.01;004;progetto;TRENTINO ALTO ADIGE / SÜDTIROL;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);25064173;0;0;25064173;402;0;0;402;23.30863643000157;23.30863643000157;0;0;1075317
M1C1I1.04.01;019;progetto;SICILIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);51543716.99999999;0;0;51543716.99999999;823;0;0;823;10.733766193198855;10.733766193198855;0;0;4802016
M1C1I1.04.01;015;progetto;CAMPANIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);64587526.99999999;0;0;64587526.99999999;1243;0;0;1243;11.54962550349372;11.54962550349372;0;0;5592175
M1C1I1.04.01;020;progetto;SARDEGNA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);29485566;0;0;29485566;429;0;0;429;18.72066147395475;18.72066147395475;0;0;1575028
M1C1I1.04.01;006;progetto;FRIULI-VENEZIA GIULIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);20966429;0;0;20966429;314;0;0;314;17.586468107878687;17.586468107878687;0;0;1192191
M1C1I1.04.01;014;in gara;MOLISE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;79922;0;79922;0;1;0;1;0.27574523875241513;0;0.27574523875241513;0;289840
M1C1I1.04.01;012;progetto;LAZIO;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);41528736;0;0;41528736;847;0;0;847;7.276663923890052;7.276663923890052;0;0;5707112
M1C1I1.04.01;018;progetto;CALABRIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);37777191.99999999;0;0;37777191.99999999;648;0;0;648;20.516587193830443;20.516587193830443;0;0;1841300
M1C1I1.04.01;013;progetto;ABRUZZO;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);25912210;0;0;25912210;397;0;0;397;20.405564392925204;20.405564392925204;0;0;1269860
M1C1I1.04.01;017;progetto;BASILICATA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);11607688;0;0;11607688;193;0;0;193;21.629541291583667;21.629541291583667;0;0;536659
M1C1I1.04.01;007;progetto;LIGURIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);18954158.999999996;0;0;18954158.999999996;322;0;0;322;12.614039839640519;12.614039839640519;0;0;1502624
M1C1I1.04.01;016;progetto;PUGLIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);38160487.99999999;0;0;38160487.99999999;697;0;0;697;9.78260339023372;9.78260339023372;0;0;3900852
M1C1I1.04.01;014;progetto;MOLISE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);9688305;0;0;9688305;157;0;0;157;33.42639042230196;33.42639042230196;0;0;289840
M1C1I1.04.01;002;progetto;VALLE D'AOSTA / VALLÉE D'AOSTE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);4846412;0;0;4846412;81;0;0;81;39.41614411776666;39.41614411776666;0;0;122955
M1C1I1.04.01;019;aggiudicato;SICILIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;0;360854;360854;0;0;2;2;0.07514635519748372;0;0;0.07514635519748372;4802016
M1C1I1.04.01;019;in gara;SICILIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;159844;0;159844;0;2;0;2;0.03328685285513418;0;0.03328685285513418;0;4802016
M1C1I1.04.01;018;in gara;CALABRIA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;155234;0;155234;0;1;0;1;0.08430673980339977;0;0.08430673980339977;0;1841300
M1C1I1.04.01;004;in gara;TRENTINO ALTO ADIGE / SÜDTIROL;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;79922;0;79922;0;1;0;1;0.0743241295357555;0;0.0743241295357555;0;1075317
M1C1I1.04.01;017;in gara;BASILICATA;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;79922;0;79922;0;1;0;1;0.14892510886801488;0;0.14892510886801488;0;536659
M1C1I1.04.01;011;in gara;MARCHE;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;235156;0;235156;0;2;0;2;0.15879916722884796;0;0.15879916722884796;0;1480839
M1C1I1.04.01;005;aggiudicato;VENETO;M1;Esperienza dei cittadini - Miglioramento della qualità e dell'utilizzabilità dei servizi pubblici digitali (M1C1I1.04.01);0;0;79922;79922;0;0;1;1;0.016518772375070094;0;0;0.016518772375070094;4838253
M1C1I1.04.02;99;in gara;ITALIA;M1;Inclusione dei cittadini - Miglioramento dell'accessibilità dei servizi pubblici digitali (M1C1I1.04.02);0;80000000;0;80000000;0;1;0;1;1.3593717133471799;0;1.3593717133471799;0;58850717
M1C1I1.04.03;003;progetto;LOMBARDIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);21608208.5;0;0;21608208.5;1488;0;0;1488;2.1715173099654277;2.1715173099654277;0;0;9950742
M1C1I1.04.03;008;progetto;EMILIA-ROMAGNA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);5997152;0;0;5997152;365;0;0;365;1.354698031073008;1.354698031073008;0;0;4426929
M1C1I1.04.03;001;progetto;PIEMONTE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);15582216;0;0;15582216;1248;0;0;1248;3.6744131207413053;3.6744131207413053;0;0;4240736
M1C1I1.04.03;019;progetto;SICILIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);13631515;0;0;13631515;490;0;0;490;2.8387067015186953;2.8387067015186953;0;0;4802016
M1C1I1.04.03;017;progetto;BASILICATA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);3757949;0;0;3757949;199;0;0;199;7.00248947655774;7.00248947655774;0;0;536659
M1C1I1.04.03;013;progetto;ABRUZZO;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);5570173;0;0;5570173;327;0;0;327;4.3864465374135735;4.3864465374135735;0;0;1269860
M1C1I1.04.03;014;in gara;MOLISE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;44325;0;44325;0;3;0;3;0.15292920231852056;0;0.15292920231852056;0;289840
M1C1I1.04.03;006;progetto;FRIULI-VENEZIA GIULIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);880910;0;0;880910;72;0;0;72;0.7389000587993031;0.7389000587993031;0;0;1192191
M1C1I1.04.03;007;progetto;LIGURIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);3287111;0;0;3287111;220;0;0;220;2.1875805258002003;2.1875805258002003;0;0;1502624
M1C1I1.04.03;018;progetto;CALABRIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);8375794;0;0;8375794;427;0;0;427;4.548848096453592;4.548848096453592;0;0;1841300
M1C1I1.04.03;005;progetto;VENETO;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);9350928;0;0;9350928;590;0;0;590;1.932707528936581;1.932707528936581;0;0;4838253
M1C1I1.04.03;016;progetto;PUGLIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);7267928;0;0;7267928;302;0;0;302;1.863164252322313;1.863164252322313;0;0;3900852
M1C1I1.04.03;020;progetto;SARDEGNA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);6265077;0;0;6265077;393;0;0;393;3.9777559510053155;3.9777559510053155;0;0;1575028
M1C1I1.04.03;015;progetto;CAMPANIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);10502328;0;0;10502328;550;0;0;550;1.878039939737222;1.878039939737222;0;0;5592175
M1C1I1.04.03;011;progetto;MARCHE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);3630091;0;0;3630091;275;0;0;275;2.451374524847063;2.451374524847063;0;0;1480839
M1C1I1.04.03;012;progetto;LAZIO;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);46349837;0;0;46349837;417;0;0;417;8.121417102029888;8.121417102029888;0;0;5707112
M1C1I1.04.03;009;progetto;TOSCANA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);4974842;0;0;4974842;254;0;0;254;1.3625403708199495;1.3625403708199495;0;0;3651152
M1C1I1.04.03;99;progetto;ITALIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);72248876.5;0;0;72248876.5;11;0;0;11;1.2276634879401724;1.2276634879401724;0;0;58850717
M1C1I1.04.03;004;progetto;TRENTINO ALTO ADIGE / SÜDTIROL;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);1335161;0;0;1335161;246;0;0;246;1.2416440919282408;1.2416440919282408;0;0;1075317
M1C1I1.04.03;014;progetto;MOLISE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);2921568;0;0;2921568;176;0;0;176;10.079933756555342;10.079933756555342;0;0;289840
M1C1I1.04.03;010;progetto;UMBRIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);1256995;0;0;1256995;85;0;0;85;1.4716550155302954;1.4716550155302954;0;0;854137
M1C1I1.04.03;002;progetto;VALLE D'AOSTA / VALLÉE D'AOSTE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);361666;0;0;361666;53;0;0;53;2.9414501240291164;2.9414501240291164;0;0;122955
M1C1I1.04.03;003;in gara;LOMBARDIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;22459;0;22459;0;1;0;1;0.0022570176173796887;0;0.0022570176173796887;0;9950742
M1C1I1.04.03;019;aggiudicato;SICILIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;0;35672;35672;0;0;1;1;0.007428546677062301;0;0;0.007428546677062301;4802016
M1C1I1.04.03;005;aggiudicato;VENETO;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;0;1458;1458;0;0;1;1;0.0003013484412658867;0;0;0.0003013484412658867;4838253
M1C1I1.04.03;012;in gara;LAZIO;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;79019;0;79019;0;2;0;2;0.013845706900442815;0;0.013845706900442815;0;5707112
M1C1I1.04.03;015;in gara;CAMPANIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;11319;0;11319;0;1;0;1;0.0020240782879648797;0;0.0020240782879648797;0;5592175
M1C1I1.04.03;011;in gara;MARCHE;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;15092;0;15092;0;1;0;1;0.010191519807352454;0;0.010191519807352454;0;1480839
M1C1I1.04.03;018;in gara;CALABRIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;46288;0;46288;0;2;0;2;0.025138760658230598;0;0.025138760658230598;0;1841300
M1C1I1.04.03;019;in gara;SICILIA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;12855;0;12855;0;1;0;1;0.002677000659722916;0;0.002677000659722916;0;4802016
M1C1I1.04.03;017;in gara;BASILICATA;M1;Rafforzamento dell'adozione dei servizi della piattaforma PagoPA e dell'applicazione IO (M1C1I1.04.03);0;2430;0;2430;0;1;0;1;0.004528014996487527;0;0.004528014996487527;0;536659
M1C1I1.04.04;014;progetto;MOLISE;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);1736000;0;0;1736000;124;0;0;124;5.989511454595639;5.989511454595639;0;0;289840
M1C1I1.04.04;015;progetto;CAMPANIA;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);6454000;0;0;6454000;461;0;0;461;1.1541126663596901;1.1541126663596901;0;0;5592175
M1C1I1.04.04;011;progetto;MARCHE;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);2926000;0;0;2926000;213;0;0;213;1.9759069014254758;1.9759069014254758;0;0;1480839
M1C1I1.04.04;009;progetto;TOSCANA;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);3023999.9999999995;0;0;3023999.9999999995;221;0;0;221;0.8282317471307684;0.8282317471307684;0;0;3651152
M1C1I1.04.04;001;progetto;PIEMONTE;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);9800000.000000002;0;0;9800000.000000002;783;0;0;783;2.310919613953805;2.310919613953805;0;0;4240736
M1C1I1.04.04;010;progetto;UMBRIA;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);910000;0;0;910000;65;0;0;65;1.065402856918738;1.065402856918738;0;0;854137
M1C1I1.04.04;019;progetto;SICILIA;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);5054000;0;0;5054000;361;0;0;361;1.0524746273231909;1.0524746273231909;0;0;4802016
M1C1I1.04.04;012;progetto;LAZIO;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);40899275.99999999;0;0;40899275.99999999;300;0;0;300;7.166369960848848;7.166369960848848;0;0;5707112
M1C1I1.04.04;007;progetto;LIGURIA;M1;Rafforzamento dell'adozione delle piattaforme nazionali di identità digitale (SPID CIE) e dell'Anagrafe nazionale (ANPR) (M1C1I1.04.04);2296000;0;0;2296000;164;0;0;164;1.5279936963605;1.5279936963605;0;0;1502624
